date_taken	date_analyzed	idx	resize_factor	x	y	scale	length1	area1	mean1	sd1	bgr1	bgr_sd1
2018-05-25 16:00:27	2018-11-26 00:41:08	1	1	2278	1858	13.7	114	4266	64	42	(40, 67, 69)	(41, 45, 37)
2018-05-25 16:00:27	2018-11-26 00:41:08	2	1	2164	1841	13.7	102	3172	82	37	(43, 84, 94)	(37, 40, 33)
2018-05-25 16:00:27	2018-11-26 00:41:08	3	1	1066	1703	13.7	124	4783	90	32	(43, 91, 106)	(30, 35, 28)
2018-05-25 16:00:27	2018-11-26 00:41:08	4	1	1721	1585	13.7	88	1668	114	28	(33, 116, 140)	(25, 31, 25)
2018-05-25 16:00:27	2018-11-26 00:41:08	5	1	2534	1458	13.7	96	3411	83	32	(46, 87, 90)	(33, 35, 29)
2018-05-25 16:00:27	2018-11-26 00:41:08	6	1	1977	1375	13.7	102	3204	106	32	(64, 110, 114)	(32, 34, 29)
2018-05-25 16:00:27	2018-11-26 00:41:08	7	1	1592	1348	13.7	101	3167	87	33	(45, 89, 99)	(31, 35, 30)
2018-05-25 16:00:27	2018-11-26 00:41:08	8	1	525	1280	13.7	106	2285	110	27	(46, 114, 128)	(25, 30, 24)
2018-05-25 16:00:27	2018-11-26 00:41:08	9	1	1210	1215	13.7	100	3085	64	38	(41, 65, 69)	(37, 41, 34)
2018-05-25 16:00:27	2018-11-26 00:41:08	10	1	1620	1107	13.7	90	1435	112	25	(33, 112, 141)	(22, 29, 22)
2018-05-25 16:00:27	2018-11-26 00:41:08	11	1	2589	1077	13.7	99	3109	92	30	(55, 96, 97)	(32, 32, 27)
2018-05-25 16:00:27	2018-11-26 00:41:08	12	1	2057	993	13.7	162	5093	102	34	(61, 106, 111)	(32, 36, 30)
2018-05-25 16:00:27	2018-11-26 00:41:08	13	1	890	826	13.7	77	2622	94	34	(78, 71, 144)	(41, 31, 73)
2018-05-25 16:00:27	2018-11-26 00:41:08	14	1	783	830	13.7	177	13790	71	44	(66, 78, 59)	(42, 47, 39)
2018-05-25 16:00:27	2018-11-26 00:41:08	15	1	966	480	13.7	101	2919	92	37	(47, 93, 105)	(30, 41, 36)
2018-05-25 16:00:27	2018-11-26 00:41:08	16	1	1242	478	13.7	82	2039	108	30	(57, 113, 120)	(28, 32, 26)
